date,category,total_volume,average
2024-08-01,Crypto,47537,
2024-08-02,Crypto,70200,
2024-08-03,Crypto,2040,
2024-08-04,Crypto,2720,
2024-08-05,Crypto,47081,
2024-08-06,Crypto,59194,
2024-08-07,Crypto,41327,38585.57142857143
2024-08-08,Crypto,76259,42688.71428571428
2024-08-09,Crypto,85210,44833.0
2024-08-10,Crypto,825,44659.42857142857
2024-08-11,Crypto,701,44371.0
2024-08-12,Crypto,91480,50713.71428571428
2024-08-13,Crypto,114887,58669.857142857145
2024-08-14,Crypto,154707,74867.0
2024-08-15,Crypto,142683,84356.14285714286
2024-08-16,Crypto,101734,86716.71428571429
2024-08-17,Crypto,2450,86948.85714285714
2024-08-18,Crypto,727,86952.57142857143
2024-08-19,Crypto,75531,84674.14285714286
2024-08-20,Crypto,64214,77435.14285714286
2024-08-21,Crypto,56397,63390.857142857145
2024-08-22,Crypto,28269,47046.0
2024-08-23,Crypto,125479,50438.142857142855
2024-08-24,Crypto,621,50176.857142857145
2024-08-25,Crypto,978,50212.71428571428
2024-08-26,Crypto,52704,46951.71428571428
2024-08-27,Crypto,77660,48872.57142857143
2024-08-28,Crypto,59511,49317.42857142857
2024-08-29,Crypto,77633,56369.42857142857
2024-08-30,Crypto,95083,52027.142857142855
2024-08-31,Crypto,370,51991.28571428572
2024-09-01,Crypto,83,51863.42857142857
2024-09-02,Crypto,755,44442.142857142855
2024-09-03,Crypto,99385,47545.71428571428
2024-09-04,Crypto,104496,53972.142857142855
2024-09-05,Crypto,94990,56451.71428571428
2024-09-06,Crypto,114116,59170.71428571428
2024-09-07,Crypto,1258,59297.57142857143
2024-09-08,Crypto,738,59391.142857142855
2024-09-09,Crypto,35385,64338.28571428572
2024-09-10,Crypto,43987,56424.28571428572
2024-09-11,Crypto,86772,53892.28571428572
2024-09-12,Crypto,75752,51144.0
2024-09-13,Crypto,89828,47674.28571428572
2024-09-14,Crypto,745,47601.0
2024-09-15,Crypto,1091,47651.42857142857
2024-09-16,Crypto,79230,53915.0
2024-09-17,Crypto,117506,64417.71428571428
2024-09-18,Crypto,152756,73844.0
2024-09-19,Crypto,180252,88772.57142857143
2024-09-20,Crypto,78769,87192.71428571429
2024-09-21,Crypto,3103,87529.57142857143
2024-09-22,Crypto,5268,88126.28571428571
2024-09-23,Crypto,78383,88005.28571428571
2024-09-24,Crypto,90167,84099.71428571429
2024-09-25,Crypto,111183,78160.71428571429
2024-09-26,Crypto,54002,60125.0
2024-09-27,Crypto,140826,68990.28571428571
2024-09-28,Crypto,3280,69015.57142857143
2024-09-29,Crypto,1361,68457.42857142857
2024-09-30,Crypto,84633,69350.28571428571
2024-10-01,Crypto,108694,71997.0
2024-10-02,Crypto,130568,74766.28571428571
2024-10-03,Crypto,108419,82540.14285714286
2024-10-04,Crypto,111786,78391.57142857143
2024-10-05,Crypto,647,78015.42857142857
2024-10-06,Crypto,5149,78556.57142857143
2024-10-07,Crypto,88842,79157.85714285714
2024-10-08,Crypto,67189,73228.57142857143
2024-10-09,Crypto,49637,61667.0
2024-10-10,Crypto,56440,54241.42857142857
2024-10-11,Crypto,75281,49026.42857142857
2024-10-12,Crypto,2321,49265.57142857143
2024-10-13,Crypto,1953,48809.0
2024-10-14,Crypto,69803,46089.142857142855
2024-10-15,Crypto,94155,49941.42857142857
2024-10-16,Crypto,98956,56987.0
2024-10-17,Crypto,74417,59555.142857142855
2024-10-18,Crypto,144262,69409.57142857143
2024-10-19,Crypto,14582,71161.14285714286
2024-10-20,Crypto,8957,72161.71428571429
2024-10-21,Crypto,110576,77986.42857142857
2024-10-22,Crypto,118448,81456.85714285714
2024-10-23,Crypto,203961,96457.57142857143
2024-10-24,Crypto,181238,111717.71428571429
2024-10-25,Crypto,315690,136207.42857142858
2024-10-26,Crypto,1799,134381.2857142857
2024-10-27,Crypto,3465,133596.7142857143
2024-10-28,Crypto,308361,161851.7142857143
2024-10-29,Crypto,509925,217777.0
2024-10-30,Crypto,483911,257769.85714285713
2024-10-31,Crypto,381565,286388.0
2024-11-01,Crypto,350802,291404.0
2024-11-02,Crypto,5433,291923.14285714284
2024-11-03,Crypto,14145,293448.85714285716
2024-11-04,Crypto,218096,280553.85714285716
2024-11-05,Crypto,396191,264306.14285714284
2024-11-06,Crypto,2182909,507020.14285714284
2024-11-07,Crypto,2845638,859030.5714285715
2024-11-08,Crypto,3333695,1285158.142857143
2024-11-09,Crypto,202336,1313287.142857143
2024-11-10,Crypto,480617,1379926.0
2024-11-11,Crypto,3760540,1885989.4285714286
2024-11-12,Crypto,3938782,2392073.8571428573
2024-11-13,Crypto,4661437,2746149.285714286
2024-11-14,Crypto,4298930,2953762.4285714286
2024-11-15,Crypto,339697,2526048.4285714286
2024-11-16,Crypto,78555,2508365.4285714286
2024-11-17,Crypto,181869,2465687.1428571427
2024-11-18,Crypto,3737316,2462369.4285714286
2024-11-19,Crypto,4300220,2514003.4285714286
2024-11-20,Crypto,3937767,2410622.0
2024-11-21,Crypto,5836486,2630272.8571428573
2024-11-22,Crypto,5645365,3388225.4285714286
2024-11-23,Crypto,311628,3421521.5714285714
2024-11-24,Crypto,273885,3434666.714285714
2024-11-25,Crypto,4783501,3584121.714285714
2024-11-26,Crypto,3389570,3454028.8571428573
2024-11-27,Crypto,2457364,3242542.714285714
2024-11-28,Crypto,228973,2441469.4285714286
2024-11-29,Crypto,2593332,2005464.7142857143
2024-11-30,Crypto,1107083,2119101.1428571427
2024-12-01,Crypto,1228839,2255523.1428571427
2024-12-02,Crypto,3812158,2116759.8571428573
2024-12-03,Crypto,2953772,2054503.0
2024-12-04,Crypto,4553494,2353950.1428571427
2024-12-05,Crypto,4591961,2977234.1428571427
2024-12-06,Crypto,4211346,3208379.0
2024-12-07,Crypto,1576865,3275490.714285714
2024-12-08,Crypto,891661,3227322.4285714286
2024-12-09,Crypto,3936662,3245108.714285714
2024-12-10,Crypto,268369,2861479.714285714
2024-12-11,Crypto,2372065,2549847.0
2024-12-12,Crypto,2752257,2287032.1428571427
2024-12-13,Crypto,293062,1727277.2857142857
2024-12-14,Crypto,1237760,1678833.7142857143
2024-12-15,Crypto,2016082,1839465.2857142857
2024-12-16,Crypto,2553338,1641847.5714285714
2024-12-17,Crypto,2324675,1935605.5714285714
2024-12-18,Crypto,3286307,2066211.5714285714
2024-12-19,Crypto,2202528,1987678.857142857
2024-12-20,Crypto,2201617,2260329.5714285714
2024-12-21,Crypto,1048947,2233356.285714286
2024-12-22,Crypto,1046287,2094814.142857143
2024-12-23,Crypto,1481174,1941647.857142857
2024-12-24,Crypto,1210962,1782546.0
2024-12-25,Crypto,804765,1428040.0
2024-12-26,Crypto,1154256,1278286.857142857
2024-12-27,Crypto,1056892,1114754.7142857143
2024-12-28,Crypto,507344,1037382.8571428572
2024-12-29,Crypto,592423,972545.1428571428
2024-12-30,Crypto,1116909,920507.2857142857
2024-12-31,Crypto,816546,864162.1428571428
2025-01-01,Crypto,471383,816536.1428571428
2025-01-02,Crypto,1038970,800066.7142857143
2025-01-03,Crypto,1821949,909360.5714285715
2025-01-04,Crypto,157141,859331.5714285715
2025-01-05,Crypto,569867,856109.2857142857
2025-01-06,Crypto,179997,722264.7142857143
2025-01-07,Crypto,1755259,856366.5714285715
2025-01-08,Crypto,1314265,976778.2857142857
2025-01-09,Crypto,949772,964035.7142857143
2025-01-10,Crypto,1178716,872145.2857142857
2025-01-11,Crypto,285375,890464.4285714285
2025-01-12,Crypto,436391,871396.4285714285
2025-01-13,Crypto,1154111,1010555.5714285715
2025-01-14,Crypto,1033633,907466.1428571428
2025-01-15,Crypto,1004596,863227.7142857143
2025-01-16,Crypto,1252080,906414.5714285715
2025-01-17,Crypto,1213083,911324.1428571428
2025-01-18,Crypto,430641,932076.4285714285
2025-01-19,Crypto,629616,959680.0
2025-01-20,Crypto,823932,912511.5714285715
2025-01-21,Crypto,1042966,913844.8571428572
2025-01-22,Crypto,1053982,920900.0
2025-01-23,Crypto,1732039,989465.5714285715
2025-01-24,Crypto,1120810,976283.7142857143
2025-01-25,Crypto,552861,993743.7142857143
2025-01-26,Crypto,424328,964416.8571428572
2025-01-27,Crypto,1287936,1030703.1428571428
2025-01-28,Crypto,957880,1018548.0
2025-01-29,Crypto,1205142,1040142.2857142857
2025-01-30,Crypto,1152038,957285.0
2025-01-31,Crypto,1341135,988760.0
2025-02-01,Crypto,524159,984659.7142857143
2025-02-02,Crypto,591338,1008518.2857142857
2025-02-03,Crypto,1585297,1050998.4285714286
2025-02-04,Crypto,1340011,1105588.5714285714
2025-02-05,Crypto,1125357,1094190.7142857143
2025-02-06,Crypto,1215385,1103240.2857142857
